service_id,date,exception_type
01,20260112,2
03,20260112,2
06,20260112,1
01,20260211,2
03,20260211,2
06,20260211,1
01,20260223,2
03,20260223,2
06,20260223,1
01,20260320,2
03,20260320,2
06,20260320,1
01,20260429,2
03,20260429,2
06,20260429,1
01,20260503,2
03,20260503,2
06,20260503,1
01,20260504,2
03,20260504,2
06,20260504,1
01,20260505,2
03,20260505,2
06,20260505,1
01,20260506,2
03,20260506,2
06,20260506,1
01,20260720,2
03,20260720,2
06,20260720,1
01,20260811,2
03,20260811,2
06,20260811,1
01,20260921,2
03,20260921,2
06,20260921,1
01,20260922,2
03,20260922,2
06,20260922,1
01,20260923,2
03,20260923,2
06,20260923,1
01,20261012,2
03,20261012,2
06,20261012,1
01,20261103,2
03,20261103,2
06,20261103,1
01,20261123,2
03,20261123,2
06,20261123,1
