trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type
0101_02_01_01_0735,07:35:00,07:35:00,2783_01,1,田町駅東口経由六本木ヒルズ方面,0,1
0101_02_01_01_0735,07:36:00,07:36:00,2785_01,2,田町駅東口経由六本木ヒルズ方面,0,0
0101_02_01_01_0735,07:37:00,07:37:00,2787_01,3,田町駅東口経由六本木ヒルズ方面,0,0
0101_02_01_01_0735,07:43:00,07:43:00,2621_01,4,六本木ヒルズ方面,0,0
0101_02_01_01_0735,07:45:00,07:45:00,2623_01,5,六本木ヒルズ方面,0,0
0101_02_01_01_0735,07:48:00,07:48:00,2625_01,6,六本木ヒルズ方面,0,0
0101_02_01_01_0735,07:50:00,07:50:00,2627_01,7,六本木ヒルズ方面,0,0
0101_02_01_01_0735,07:51:00,07:51:00,2673_02,8,六本木ヒルズ方面,0,0
0101_02_01_01_0735,07:53:00,07:53:00,2631_01,9,六本木ヒルズ方面,0,0
0101_02_01_01_0735,07:54:00,07:54:00,2633_01,10,六本木ヒルズ方面,0,0
0101_02_01_01_0735,07:54:00,07:54:00,2635_01,11,六本木ヒルズ方面,0,0
0101_02_01_01_0735,07:55:00,07:55:00,2637_01,12,六本木ヒルズ方面,0,0
0101_02_01_01_0735,07:57:00,07:57:00,2639_01,13,六本木ヒルズ方面,0,0
0101_02_01_01_0735,07:58:00,07:58:00,2641_01,14,六本木ヒルズ方面,0,0
0101_02_01_01_0735,08:00:00,08:00:00,2643_01,15,六本木ヒルズ方面,0,0
0101_02_01_01_0735,08:02:00,08:02:00,2645_01,16,六本木ヒルズ方面,0,0
0101_02_01_01_0735,08:04:00,08:04:00,2647_01,17,六本木ヒルズ方面,0,0
0101_02_01_01_0735,08:06:00,08:06:00,2649_01,18,六本木ヒルズ方面,0,0
0101_02_01_01_0735,08:08:00,08:08:00,2651_02,19,六本木ヒルズ方面,0,0
0101_02_01_01_0735,08:13:00,08:13:00,2653_01,20,田町駅東口経由芝浦車庫,0,0
0101_02_01_01_0735,08:17:00,08:17:00,2655_03,21,田町駅東口経由芝浦車庫,0,0
0101_02_01_01_0735,08:19:00,08:19:00,2657_01,22,田町駅東口経由芝浦車庫,0,0
0101_02_01_01_0735,08:20:00,08:20:00,2659_01,23,田町駅東口経由芝浦車庫,0,0
0101_02_01_01_0735,08:22:00,08:22:00,2661_01,24,田町駅東口経由芝浦車庫,0,0
0101_02_01_01_0735,08:26:00,08:26:00,2663_01,25,田町駅東口経由芝浦車庫,0,0
0101_02_01_01_0735,08:26:00,08:26:00,2665_01,26,田町駅東口経由芝浦車庫,0,0
0101_02_01_01_0735,08:28:00,08:28:00,2641_02,27,田町駅東口経由芝浦車庫,0,0
0101_02_01_01_0735,08:30:00,08:30:00,2639_02,28,田町駅東口経由芝浦車庫,0,0
0101_02_01_01_0735,08:31:00,08:31:00,2667_01,29,田町駅東口経由芝浦車庫,0,0
0101_02_01_01_0735,08:34:00,08:34:00,2669_01,30,田町駅東口経由芝浦車庫,0,0
0101_02_01_01_0735,08:35:00,08:35:00,2671_01,31,田町駅東口経由芝浦車庫,0,0
0101_02_01_01_0735,08:37:00,08:37:00,2673_01,32,田町駅東口経由芝浦車庫,0,0
0101_02_01_01_0735,08:38:00,08:38:00,2627_02,33,田町駅東口経由芝浦車庫,0,0
0101_02_01_01_0735,08:40:00,08:40:00,2675_01,34,田町駅東口経由芝浦車庫,0,0
0101_02_01_01_0735,08:42:00,08:42:00,2623_02,35,田町駅東口経由芝浦車庫,0,0
0101_02_01_01_0735,08:46:00,08:46:00,2621_01,36,芝浦車庫,0,0
0101_02_01_01_0735,08:49:00,08:49:00,2787_02,37,芝浦車庫,0,0
0101_02_01_01_0735,08:50:00,08:50:00,2785_02,38,芝浦車庫,0,0
0101_02_01_01_0735,08:52:00,08:52:00,2783_01,39,芝浦車庫,1,0
0101_05_01_01_0913,09:13:00,09:13:00,2621_01,1,六本木ヒルズ方面,0,1
0101_05_01_01_0913,09:15:00,09:15:00,2623_01,2,六本木ヒルズ方面,0,0
0101_05_01_01_0913,09:18:00,09:18:00,2625_01,3,六本木ヒルズ方面,0,0
0101_05_01_01_0913,09:20:00,09:20:00,2627_01,4,六本木ヒルズ方面,0,0
0101_05_01_01_0913,09:21:00,09:21:00,2673_02,5,六本木ヒルズ方面,0,0
0101_05_01_01_0913,09:23:00,09:23:00,2631_01,6,六本木ヒルズ方面,0,0
0101_05_01_01_0913,09:24:00,09:24:00,2633_01,7,六本木ヒルズ方面,0,0
0101_05_01_01_0913,09:24:00,09:24:00,2635_01,8,六本木ヒルズ方面,0,0
0101_05_01_01_0913,09:25:00,09:25:00,2637_01,9,六本木ヒルズ方面,0,0
0101_05_01_01_0913,09:27:00,09:27:00,2639_01,10,六本木ヒルズ方面,0,0
0101_05_01_01_0913,09:28:00,09:28:00,2641_01,11,六本木ヒルズ方面,0,0
0101_05_01_01_0913,09:30:00,09:30:00,2643_01,12,六本木ヒルズ方面,0,0
0101_05_01_01_0913,09:32:00,09:32:00,2645_01,13,六本木ヒルズ方面,0,0
0101_05_01_01_0913,09:34:00,09:34:00,2647_01,14,六本木ヒルズ方面,0,0
0101_05_01_01_0913,09:36:00,09:36:00,2649_01,15,六本木ヒルズ方面,0,0
0101_05_01_01_0913,09:38:00,09:38:00,2651_02,16,六本木ヒルズ方面,0,0
0101_05_01_01_0913,09:43:00,09:43:00,2653_01,17,田町駅東口,0,0
0101_05_01_01_0913,09:47:00,09:47:00,2655_03,18,田町駅東口,0,0
0101_05_01_01_0913,09:49:00,09:49:00,2657_01,19,田町駅東口,0,0
0101_05_01_01_0913,09:50:00,09:50:00,2659_01,20,田町駅東口,0,0
0101_05_01_01_0913,09:52:00,09:52:00,2661_01,21,田町駅東口,0,0
0101_05_01_01_0913,09:56:00,09:56:00,2663_01,22,田町駅東口,0,0
0101_05_01_01_0913,09:56:00,09:56:00,2665_01,23,田町駅東口,0,0
0101_05_01_01_0913,09:58:00,09:58:00,2641_02,24,田町駅東口,0,0
0101_05_01_01_0913,10:00:00,10:00:00,2639_02,25,田町駅東口,0,0
0101_05_01_01_0913,10:01:00,10:01:00,2667_01,26,田町駅東口,0,0
0101_05_01_01_0913,10:04:00,10:04:00,2669_01,27,田町駅東口,0,0
0101_05_01_01_0913,10:05:00,10:05:00,2671_01,28,田町駅東口,0,0
0101_05_01_01_0913,10:07:00,10:07:00,2673_01,29,田町駅東口,0,0
0101_05_01_01_0913,10:08:00,10:08:00,2627_02,30,田町駅東口,0,0
0101_05_01_01_0913,10:10:00,10:10:00,2675_01,31,田町駅東口,0,0
0101_05_01_01_0913,10:12:00,10:12:00,2623_02,32,田町駅東口,0,0
0101_05_01_01_0913,10:14:00,10:14:00,2621_01,33,田町駅東口,1,0
0101_08_01_01_1043,10:43:00,10:43:00,2621_01,1,六本木ヒルズ方面,0,1
0101_08_01_01_1043,10:45:00,10:45:00,2623_01,2,六本木ヒルズ方面,0,0
0101_08_01_01_1043,10:48:00,10:48:00,2625_01,3,六本木ヒルズ方面,0,0
0101_08_01_01_1043,10:50:00,10:50:00,2627_01,4,六本木ヒルズ方面,0,0
0101_08_01_01_1043,10:51:00,10:51:00,2673_02,5,六本木ヒルズ方面,0,0
0101_08_01_01_1043,10:53:00,10:53:00,2631_01,6,六本木ヒルズ方面,0,0
0101_08_01_01_1043,10:54:00,10:54:00,2633_01,7,六本木ヒルズ方面,0,0
0101_08_01_01_1043,10:54:00,10:54:00,2635_01,8,六本木ヒルズ方面,0,0
0101_08_01_01_1043,10:55:00,10:55:00,2637_01,9,六本木ヒルズ方面,0,0
0101_08_01_01_1043,10:57:00,10:57:00,2639_01,10,六本木ヒルズ方面,0,0
0101_08_01_01_1043,10:58:00,10:58:00,2641_01,11,六本木ヒルズ方面,0,0
0101_08_01_01_1043,11:00:00,11:00:00,2643_01,12,六本木ヒルズ方面,0,0
0101_08_01_01_1043,11:02:00,11:02:00,2645_01,13,六本木ヒルズ方面,0,0
0101_08_01_01_1043,11:04:00,11:04:00,2647_01,14,六本木ヒルズ方面,0,0
0101_08_01_01_1043,11:06:00,11:06:00,2649_01,15,六本木ヒルズ方面,0,0
0101_08_01_01_1043,11:08:00,11:08:00,2651_02,16,六本木ヒルズ方面,0,0
