table_name,field_name,language,translation,record_id,record_sub_id,field_value
stops,stop_name,ja,田町駅東口,,,田町駅東口
stops,stop_name,ja,藻塩橋,,,藻塩橋
stops,stop_name,ja,田町駅前,,,田町駅前
stops,stop_name,ja,浅草線三田駅前,,,浅草線三田駅前
stops,stop_name,ja,芝五丁目,,,芝五丁目
stops,stop_name,ja,芝三丁目,,,芝三丁目
stops,stop_name,ja,芝三丁目北,,,芝三丁目北
stops,stop_name,ja,赤羽橋南,,,赤羽橋南
stops,stop_name,ja,赤羽橋駅前,,,赤羽橋駅前
stops,stop_name,ja,中ノ橋,,,中ノ橋
stops,stop_name,ja,三田一丁目,,,三田一丁目
stops,stop_name,ja,麻布十番駅前（一の橋）,,,麻布十番駅前（一の橋）
stops,stop_name,ja,麻布十番,,,麻布十番
stops,stop_name,ja,鳥居坂下,,,鳥居坂下
stops,stop_name,ja,六本木けやき坂,,,六本木けやき坂
stops,stop_name,ja,六本木ヒルズ,,,六本木ヒルズ
stops,stop_name,ja,六本木駅前,,,六本木駅前
stops,stop_name,ja,麻布地区総合支所前,,,麻布地区総合支所前
stops,stop_name,ja,東洋英和女学院前,,,東洋英和女学院前
stops,stop_name,ja,麻布十番公共駐車場前,,,麻布十番公共駐車場前
stops,stop_name,ja,法務局入口,,,法務局入口
stops,stop_name,ja,東麻布二丁目（田町ルート）,,,東麻布二丁目（田町ルート）
stops,stop_name,ja,赤羽橋,,,赤羽橋
stops,stop_name,ja,芝三丁目西,,,芝三丁目西
stops,stop_name,ja,芝三丁目南,,,芝三丁目南
stops,stop_name,ja,三田線三田駅前,,,三田線三田駅前
stops,stop_name,ja,田町駅西口,,,田町駅西口
stops,stop_name,ja,六本木七丁目南,,,六本木七丁目南
stops,stop_name,ja,六本木交差点北,,,六本木交差点北
stops,stop_name,ja,六本木七丁目,,,六本木七丁目
stops,stop_name,ja,乃木坂駅入口,,,乃木坂駅入口
stops,stop_name,ja,赤坂小前,,,赤坂小前
stops,stop_name,ja,赤坂五丁目交番前,,,赤坂五丁目交番前
stops,stop_name,ja,赤坂駅前,,,赤坂駅前
stops,stop_name,ja,山王下,,,山王下
stops,stop_name,ja,赤坂見附駅,,,赤坂見附駅
stops,stop_name,ja,豊川稲荷前,,,豊川稲荷前
stops,stop_name,ja,赤坂地区総合支所前,,,赤坂地区総合支所前
stops,stop_name,ja,高橋是清翁記念公園前,,,高橋是清翁記念公園前
stops,stop_name,ja,赤坂郵便局前,,,赤坂郵便局前
stops,stop_name,ja,青山一丁目駅前,,,青山一丁目駅前
stops,stop_name,ja,南青山一丁目,,,南青山一丁目
stops,stop_name,ja,赤坂八丁目,,,赤坂八丁目
stops,stop_name,ja,山王病院前,,,山王病院前
stops,stop_name,ja,乃木公園,,,乃木公園
stops,stop_name,ja,檜町公園,,,檜町公園
stops,stop_name,ja,芝浦車庫,,,芝浦車庫
stops,stop_name,ja,芝浦四丁目,,,芝浦四丁目
stops,stop_name,ja,八千代橋,,,八千代橋
stops,stop_name,ja,赤坂六丁目,,,赤坂六丁目
stops,stop_name,ja,表参道駅,,,表参道駅
stops,stop_name,ja,南青山三丁目交差点,,,南青山三丁目交差点
stops,stop_name,ja,新橋駅,,,新橋駅
stops,stop_name,ja,新橋駅北口,,,新橋駅北口
stops,stop_name,ja,西新橋二丁目,,,西新橋二丁目
stops,stop_name,ja,虎ノ門一丁目,,,虎ノ門一丁目
stops,stop_name,ja,虎ノ門二丁目,,,虎ノ門二丁目
stops,stop_name,ja,愛宕一丁目,,,愛宕一丁目
stops,stop_name,ja,慈恵医大病院入口,,,慈恵医大病院入口
stops,stop_name,ja,愛宕警察署,,,愛宕警察署
stops,stop_name,ja,御成門駅,,,御成門駅
stops,stop_name,ja,港区役所,,,港区役所
stops,stop_name,ja,芝公園駅,,,芝公園駅
stops,stop_name,ja,芝園橋,,,芝園橋
stops,stop_name,ja,金杉橋,,,金杉橋
stops,stop_name,ja,芝一丁目,,,芝一丁目
stops,stop_name,ja,芝四丁目,,,芝四丁目
stops,stop_name,ja,烏森神社,,,烏森神社
stops,stop_name,ja,東麻布二丁目（ 麻布東ルート）,,,東麻布二丁目（ 麻布東ルート）
stops,stop_name,ja,法務局前,,,法務局前
stops,stop_name,ja,飯倉片町,,,飯倉片町
stops,stop_name,ja,東麻布三丁目,,,東麻布三丁目
stops,stop_name,ja,六本木五丁目,,,六本木五丁目
stops,stop_name,ja,仙台坂下,,,仙台坂下
stops,stop_name,ja,仙台坂上,,,仙台坂上
stops,stop_name,ja,元麻布二丁目,,,元麻布二丁目
stops,stop_name,ja,愛育クリニック,,,愛育クリニック
stops,stop_name,ja,有栖川宮記念公園,,,有栖川宮記念公園
stops,stop_name,ja,広尾駅,,,広尾駅
stops,stop_name,ja,天現寺橋,,,天現寺橋
stops,stop_name,ja,光林寺,,,光林寺
stops,stop_name,ja,本村小学校入口,,,本村小学校入口
stops,stop_name,ja,二ノ橋,,,二ノ橋
stops,stop_name,ja,麻布十番二丁目,,,麻布十番二丁目
stops,stop_name,ja,麻布いーすと通り,,,麻布いーすと通り
stops,stop_name,ja,東麻布一丁目（東京タワー下）,,,東麻布一丁目（東京タワー下）
stops,stop_name,ja,虎ノ門五丁目,,,虎ノ門五丁目
stops,stop_name,ja,神谷町駅前,,,神谷町駅前
stops,stop_name,ja,御成門北,,,御成門北
stops,stop_name,ja,御成門中学校,,,御成門中学校
stops,stop_name,ja,六本木六丁目,,,六本木六丁目
stops,stop_name,ja,西麻布,,,西麻布
stops,stop_name,ja,西麻布二丁目,,,西麻布二丁目
stops,stop_name,ja,西麻布一丁目,,,西麻布一丁目
stops,stop_name,ja,西麻布四丁目,,,西麻布四丁目
stops,stop_name,ja,日赤医療センター,,,日赤医療センター
stops,stop_name,ja,南青山六丁目,,,南青山六丁目
stops,stop_name,ja,青南小学校,,,青南小学校
stops,stop_name,ja,外苑前駅,,,外苑前駅
stops,stop_name,ja,青山二丁目交差点,,,青山二丁目交差点
stops,stop_name,ja,元赤坂一丁目,,,元赤坂一丁目
stops,stop_name,ja,南青山七丁目,,,南青山七丁目
stops,stop_name,ja,品川駅港南口,,,品川駅港南口
stops,stop_name,ja,芝浦中央公園入口,,,芝浦中央公園入口
stops,stop_name,ja,港南二丁目,,,港南二丁目
stops,stop_name,ja,高輪四丁目,,,高輪四丁目
stops,stop_name,ja,品川駅高輪口,,,品川駅高輪口
stops,stop_name,ja,東京高輪病院,,,東京高輪病院
stops,stop_name,ja,高輪三丁目,,,高輪三丁目
stops,stop_name,ja,高輪警察署前,,,高輪警察署前
stops,stop_name,ja,高輪台小学校,,,高輪台小学校
stops,stop_name,ja,高輪二丁目,,,高輪二丁目
stops,stop_name,ja,高輪一丁目,,,高輪一丁目
stops,stop_name,ja,魚籃坂下,,,魚籃坂下
stops,stop_name,ja,高輪地区総合支所前,,,高輪地区総合支所前
stops,stop_name,ja,三田四丁目,,,三田四丁目
stops,stop_name,ja,三田三丁目,,,三田三丁目
stops,stop_name,ja,慶應義塾東門,,,慶應義塾東門
stops,stop_name,ja,芝浦一丁目,,,芝浦一丁目
stops,stop_name,ja,竹芝橋,,,竹芝橋
stops,stop_name,ja,芝浦二丁目,,,芝浦二丁目
stops,stop_name,ja,芝浦三丁目,,,芝浦三丁目
stops,stop_name,ja,芝浦アイランド,,,芝浦アイランド
stops,stop_name,ja,海岸三丁目,,,海岸三丁目
stops,stop_name,ja,埠頭公園入口,,,埠頭公園入口
stops,stop_name,ja,高浜橋,,,高浜橋
stops,stop_name,ja,芝浦中央公園運動場,,,芝浦中央公園運動場
stops,stop_name,ja,浜路橋,,,浜路橋
stops,stop_name,ja,港南の郷,,,港南の郷
stops,stop_name,ja,港南三丁目,,,港南三丁目
stops,stop_name,ja,港南四丁目,,,港南四丁目
stops,stop_name,ja,港南いきいきプラザ,,,港南いきいきプラザ
stops,stop_name,ja,新港南橋,,,新港南橋
stops,stop_name,ja,港南一丁目,,,港南一丁目
stops,stop_name,ja,港南小学校前,,,港南小学校前
stops,stop_name,ja,プラザ神明,,,プラザ神明
stops,stop_name,ja,溜池山王駅,,,溜池山王駅
stops,stop_name,ja,青山高樹町,,,青山高樹町
stops,stop_name,ja,みなとパーク芝浦,,,みなとパーク芝浦
stops,stop_name,ja,港区役所北,,,港区役所北
stops,stop_name,ja,汐彩橋北,,,汐彩橋北
stops,stop_name,ja,芝浦ふ頭南,,,芝浦ふ頭南
stops,stop_name,ja,潮路橋,,,潮路橋
stops,stop_name,ja,海岸二丁目,,,海岸二丁目
stops,stop_name,ja,日の出桟橋入口,,,日の出桟橋入口
stops,stop_name,ja,竹芝桟橋入口,,,竹芝桟橋入口
stops,stop_name,ja-Hrkt,たまちえきひがしぐち,,,田町駅東口
stops,stop_name,ja-Hrkt,もしおばし,,,藻塩橋
stops,stop_name,ja-Hrkt,たまちえきまえ,,,田町駅前
stops,stop_name,ja-Hrkt,あさくさせんみたえきまえ,,,浅草線三田駅前
stops,stop_name,ja-Hrkt,しばごちょうめ,,,芝五丁目
stops,stop_name,ja-Hrkt,しばさんちょうめ,,,芝三丁目
stops,stop_name,ja-Hrkt,しばさんちょうめきた,,,芝三丁目北
stops,stop_name,ja-Hrkt,あかばねばしみなみ,,,赤羽橋南
stops,stop_name,ja-Hrkt,あかばねばしえきまえ,,,赤羽橋駅前
stops,stop_name,ja-Hrkt,なかのはし,,,中ノ橋
stops,stop_name,ja-Hrkt,みたいっちょうめ,,,三田一丁目
stops,stop_name,ja-Hrkt,あざぶじゅうばんえきまえ（いちのはし）,,,麻布十番駅前（一の橋）
stops,stop_name,ja-Hrkt,あざぶじゅうばん,,,麻布十番
stops,stop_name,ja-Hrkt,とりいざかした,,,鳥居坂下
stops,stop_name,ja-Hrkt,ろっぽんぎけやきざか,,,六本木けやき坂
stops,stop_name,ja-Hrkt,ろっぽんぎひるず,,,六本木ヒルズ
stops,stop_name,ja-Hrkt,ろっぽんぎえきまえ,,,六本木駅前
stops,stop_name,ja-Hrkt,あざぶちくそうごうししょまえ,,,麻布地区総合支所前
stops,stop_name,ja-Hrkt,とうようえいわじょがくいんまえ,,,東洋英和女学院前
stops,stop_name,ja-Hrkt,あざぶじゅうばんこうきょうちゅうしゃじょうまえ,,,麻布十番公共駐車場前
stops,stop_name,ja-Hrkt,ほうむきょくいりぐち,,,法務局入口
stops,stop_name,ja-Hrkt,ひがしあざぶにちょうめ,,,東麻布二丁目（田町ルート）
stops,stop_name,ja-Hrkt,あかばねばし,,,赤羽橋
stops,stop_name,ja-Hrkt,しばさんちょうめにし,,,芝三丁目西
stops,stop_name,ja-Hrkt,しばさんちょうめみなみ,,,芝三丁目南
stops,stop_name,ja-Hrkt,みたせんみたえきまえ,,,三田線三田駅前
stops,stop_name,ja-Hrkt,たまちえきにしぐち,,,田町駅西口
stops,stop_name,ja-Hrkt,ろっぽんぎななちょうめみなみ,,,六本木七丁目南
stops,stop_name,ja-Hrkt,ろっぽんぎこうさてんきた,,,六本木交差点北
stops,stop_name,ja-Hrkt,ろっぽんぎななちょうめ,,,六本木七丁目
stops,stop_name,ja-Hrkt,のぎざかえきいりぐち,,,乃木坂駅入口
stops,stop_name,ja-Hrkt,あかさかしょうまえ,,,赤坂小前
stops,stop_name,ja-Hrkt,あかさかごちょうめこうばんまえ,,,赤坂五丁目交番前
