trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,jp_trip_desc,jp_trip_desc_symbol,jp_office_id
0101_02_01_01_0735,00002,01,芝浦車庫行,,,,85121,,,,,01
0101_05_01_01_0913,00002,01,田町駅東口行,,,,85131,,,,,01
0101_08_01_01_1043,00002,01,芝浦車庫行,,,,85151,,,,,01
0101_11_01_01_1205,00002,01,芝浦車庫行,,,,85121,,,,,01
0101_14_01_01_1343,00002,01,芝浦車庫行,,,,85151,,,,,01
0101_17_01_01_1513,00002,01,田町駅東口行,,,,85131,,,,,01
0101_20_01_01_1643,00002,01,芝浦車庫行,,,,85151,,,,,01
0101_23_01_01_1813,00002,01,芝浦車庫行,,,,85151,,,,,01
0102_02_01_01_0750,00002,01,田町駅東口行,,,,85141,,,,,01
0102_05_01_01_0920,00002,01,田町駅東口行,,,,85141,,,,,01
0102_08_01_01_1050,00002,01,田町駅東口行,,,,85141,,,,,01
0102_11_01_01_1220,00002,01,田町駅東口行,,,,85141,,,,,01
0102_14_01_01_1358,00002,01,田町駅東口行,,,,85131,,,,,01
0102_17_01_01_1520,00002,01,芝浦車庫行,,,,85121,,,,,01
0102_20_01_01_1658,00002,01,芝浦車庫行,,,,85151,,,,,01
0102_23_01_01_1828,00002,01,田町駅東口行,,,,85131,,,,,01
0102_24_01_01_1943,00002,01,芝浦車庫行,,,,85151,,,,,01
0103_02_01_01_0745,00002,01,田町駅東口行,,,,85181,,,,,01
0103_03_01_01_0759,00002,01,芝浦車庫行,,,,85182,,,,,01
0103_06_01_01_0835,00002,01,田町駅東口行,,,,85141,,,,,01
0103_09_01_01_1005,00002,01,田町駅東口行,,,,85141,,,,,01
0103_12_01_01_1143,00002,01,田町駅東口行,,,,85131,,,,,01
0103_15_01_01_1305,00002,01,田町駅東口行,,,,85141,,,,,01
0103_18_01_01_1443,00002,01,田町駅東口行,,,,85131,,,,,01
0103_21_01_01_1613,00002,01,芝浦車庫行,,,,85151,,,,,01
0103_24_01_01_1743,00002,01,田町駅東口行,,,,85131,,,,,01
0103_25_01_01_1858,00002,01,芝浦車庫行,,,,85151,,,,,01
0104_02_01_01_0805,00002,01,田町駅東口行,,,,85141,,,,,01
0104_05_01_01_0943,00002,01,田町駅東口行,,,,85131,,,,,01
0104_08_01_01_1105,00002,01,田町駅東口行,,,,85141,,,,,01
0104_11_01_01_1243,00002,01,田町駅東口行,,,,85131,,,,,01
0104_14_01_01_1405,00002,01,田町駅東口行,,,,85141,,,,,01
0104_17_01_01_1543,00002,01,田町駅東口行,,,,85131,,,,,01
0104_20_01_01_1713,00002,01,芝浦車庫行,,,,85151,,,,,01
0104_23_01_01_1843,00002,01,田町駅東口行,,,,85131,,,,,01
0104_24_01_01_1958,00002,01,芝浦車庫行,,,,85152,,,,,01
0105_02_01_01_0820,00002,01,芝浦車庫行,,,,85121,,,,,01
0105_05_01_01_0958,00002,01,田町駅東口行,,,,85131,,,,,01
0105_08_01_01_1120,00002,01,芝浦車庫行,,,,85121,,,,,01
0105_11_01_01_1258,00002,01,芝浦車庫行,,,,85151,,,,,01
0105_14_01_01_1420,00002,01,田町駅東口行,,,,85141,,,,,01
0105_17_01_01_1558,00002,01,芝浦車庫行,,,,85151,,,,,01
0105_20_01_01_1728,00002,01,芝浦車庫行,,,,85151,,,,,01
0105_23_01_01_1905,00002,01,芝浦車庫行,,,,85121,,,,,01
0106_02_01_01_0858,00002,01,田町駅東口行,,,,85131,,,,,01
0106_05_01_01_1028,00002,01,田町駅東口行,,,,85131,,,,,01
0106_08_01_01_1158,00002,01,田町駅東口行,,,,85131,,,,,01
0106_11_01_01_1320,00002,01,田町駅東口行,,,,85141,,,,,01
0106_14_01_01_1458,00002,01,田町駅東口行,,,,85131,,,,,01
0106_17_01_01_1628,00002,01,芝浦車庫行,,,,85151,,,,,01
0106_20_01_01_1758,00002,01,田町駅東口行,,,,85131,,,,,01
0106_23_01_01_1928,00002,01,芝浦車庫行,,,,85151,,,,,01
0201_02_01_01_0700,00002,01,六本木ヒルズ行,,,,85161,,,,,01
0201_04_01_01_0800,00001,01,六本木ヒルズ行,,,,85111,,,,,01
0201_06_01_01_0900,00001,01,六本木ヒルズ行,,,,85111,,,,,01
0201_08_01_01_1000,00001,01,六本木ヒルズ行,,,,85111,,,,,01
0201_10_01_01_1100,00001,01,六本木ヒルズ行,,,,85111,,,,,01
0201_12_01_01_1200,00001,01,六本木ヒルズ行,,,,85111,,,,,01
0201_14_01_01_1300,00001,01,六本木ヒルズ行,,,,85111,,,,,01
0201_16_01_01_1400,00001,01,六本木ヒルズ行,,,,85111,,,,,01
0201_18_01_01_1500,00001,01,六本木ヒルズ行,,,,85111,,,,,01
0201_20_01_01_1600,00001,01,六本木ヒルズ行,,,,85111,,,,,01
0201_22_01_01_1700,00001,01,六本木ヒルズ行,,,,85111,,,,,01
0201_24_01_01_1800,00001,01,六本木ヒルズ行,,,,85111,,,,,01
0201_26_01_01_1900,00001,01,六本木ヒルズ行,,,,85111,,,,,01
0201_28_01_01_2000,00001,01,六本木ヒルズ行,,,,85112,,,,,01
0201_30_01_01_2058,00002,01,芝浦車庫行,,,,85171,,,,,01
0202_02_01_01_0720,00002,01,田町駅東口行,,,,85141,,,,,01
0203_02_01_01_0725,00002,01,赤羽橋南行,,,,85193,,,,,01
0203_04_01_01_0830,00001,01,六本木ヒルズ行,,,,85111,,,,,01
0203_06_01_01_0930,00001,01,六本木ヒルズ行,,,,85111,,,,,01
0203_08_01_01_1030,00001,01,六本木ヒルズ行,,,,85111,,,,,01
0203_10_01_01_1130,00001,01,六本木ヒルズ行,,,,85111,,,,,01
0203_12_01_01_1230,00001,01,六本木ヒルズ行,,,,85111,,,,,01
0203_14_01_01_1330,00001,01,六本木ヒルズ行,,,,85111,,,,,01
0203_16_01_01_1430,00001,01,六本木ヒルズ行,,,,85111,,,,,01
0203_18_01_01_1530,00001,01,六本木ヒルズ行,,,,85111,,,,,01
0203_20_01_01_1630,00001,01,六本木ヒルズ行,,,,85111,,,,,01
0203_22_01_01_1730,00001,01,六本木ヒルズ行,,,,85111,,,,,01
0203_24_01_01_1830,00001,01,六本木ヒルズ行,,,,85111,,,,,01
0203_26_01_01_1930,00001,01,六本木ヒルズ行,,,,85111,,,,,01
0203_28_01_01_2043,00002,01,芝浦車庫行,,,,85162,,,,,01
0301_02_01_01_0755,00003,01,みなとパーク芝浦行,,,,85201,,,,,01
0301_03_01_01_0841,00003,01,新橋駅行,,,,85222,,,,,01
0301_04_01_01_0947,00003,01,みなとパーク芝浦行,,,,85201,,,,,01
0301_05_01_01_1045,00003,01,新橋駅行,,,,85202,,,,,01
0301_06_01_01_1147,00003,01,みなとパーク芝浦行,,,,85201,,,,,01
0301_07_01_01_1250,00003,01,新橋駅行,,,,85202,,,,,01
0301_08_01_01_1359,00003,01,みなとパーク芝浦行,,,,85201,,,,,01
0301_09_01_01_1456,00003,01,新橋駅行,,,,85222,,,,,01
0301_10_01_01_1601,00003,01,みなとパーク芝浦行,,,,85201,,,,,01
0301_11_01_01_1659,00003,01,新橋駅行,,,,85202,,,,,01
0301_12_01_01_1804,00003,01,みなとパーク芝浦行,,,,85201,,,,,01
0301_13_01_01_1858,00003,01,新橋駅行,,,,85202,,,,,01
0301_14_01_01_1956,00003,01,みなとパーク芝浦行,,,,85201,,,,,01
0302_02_01_01_0750,00003,01,新橋駅行,,,,85202,,,,,01
0302_03_01_01_0859,00003,01,みなとパーク芝浦行,,,,85201,,,,,01
0302_04_01_01_0956,00003,01,新橋駅行,,,,85222,,,,,01
0302_05_01_01_1101,00003,01,みなとパーク芝浦行,,,,85201,,,,,01
0302_06_01_01_1157,00003,01,新橋駅行,,,,85202,,,,,01
0302_07_01_01_1307,00003,01,みなとパーク芝浦行,,,,85201,,,,,01
